Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
Les Nuits (Re)Belles,39800,Brainans,Bourgogne-Franche-Comté,2014,Musique,http://www.moulindebrainans.com/wp-content/uploads/2017/06/Depliant_LesNuitsReBelles4.pdf,46.8746666632,5.6278782462,juin,septembre
Y'A Pas L'Feu,62149,Cambrin,Hauts-de-France,2014,Musique,www.festival-yapaslfeu.com,50.5116047377,2.73659179875,janvier,juin
Festival Du Jeune Art Russe,6414,Cannes,Provence-Alpes-Côte d'Azur,2019,Musique,www.palaisdesfestivals.com,43.587465146,7.10635418256,juin,septembre
Festival De Musique De Cordes-Sur-Ciel,81170,Cordes-sur-Ciel,Occitanie,1971,Musique,https://www.festivalcordessurciel.com/,44.0681683828,1.95360871103,juin,septembre
Les Rencontres De La Cinémathèque Montagne,5000,Gap,Provence-Alpes-Côte d'Azur,2009,"Cinéma, audiovisuel",www.cimalpes.fr,44.5798600596,6.06486052138,septembre,décembre
Jazz À La Sout,23000,Guéret,Nouvelle-Aquitaine,1998,Musique,www.jazzalasout.com,46.1632121428,1.87078672735,septembre,décembre
Bouge Ton Cube,56190,Lauzach,Bretagne,2011,Musique,Facebook lafarique56,47.6111902718,-2.55589461102,janvier,juin
Festival Du Livre De Marseille,13008,Marseille,Provence-Alpes-Côte d'Azur,2018,"Livre, littérature",festivaldulivredemarseille.com,43.296346,5.369889,septembre,décembre
Némo - Biennale Internationale Des Arts Numériques,75019,Paris,Île-de-France,2015,"Arts visuels, arts numériques",https://www.biennalenemo.fr/,48.886868623,2.38469432787,septembre,décembre
Transat En Ville,35000,Rennes,Bretagne,2003,Musique,transatenville.fr,48.1119791219,-1.68186449144,juin,septembre
Festival De Musique Ancienne De Ribeauvillé,68150,Ribeauvillé,Grand Est,1984,Musique,festival-musique-ancienne-ribeauville,48.2065139236,7.28672468283,septembre,décembre
Summer Vibration Festival,67600,Sélestat,Grand Est,2014,Musique,www.zone51.net,48.2481136279,7.46224896454,septembre,décembre
Jazz In Trivy,71520,Trivy,Bourgogne-Franche-Comté,1998,Musique,https://www.jazzintrivy.frr,46.3907231408,4.48743569605,janvier,juin
Festival Du Premier Film D'Annonay,7100,Annonay,Auvergne-Rhône-Alpes,1983,"Cinéma, audiovisuel",http://www.annonaypremierfilm.org,45.2460902392,4.65026947295,janvier,juin
Les Feuilles D'Automne,4370,Colmars,Provence-Alpes-Côte d'Azur,2014,"Livre, littérature",5saisons-colmars.fr,44.1724272821,6.6615406144,septembre,décembre
Voyages Imaginaires,2720,Homblières,Hauts-de-France,2018,Spectacle vivant,www.mclgauchy.fr,49.8577543083,3.37495127984,juin,septembre
Festival Russe,13003,Marseille,Provence-Alpes-Côte d'Azur,1995,Pluridisciplinaire,www.toursky.fr,43.296346,5.369889,janvier,juin
Hip Opsession,44000,Nantes,Pays de la Loire,2005,Musique,http://www.hipopsession.com,47.2316356767,-1.54831008605,janvier,juin
Midi-Minuit Poésie,44000,Nantes,Pays de la Loire,2014,"Livre, littérature",http://maisondelapoesie-nantes.com/category/midiminuitpoesie/,47.2316356767,-1.54831008605,septembre,décembre
Rise And Fall Festival,79000,Niort,Nouvelle-Aquitaine,2017,Musique,http://www.riseandfallfestival.com/,46.328260242,-0.465353019369,septembre,décembre
Foire Internationale D'Art Contemporain - Fiac,75007,Paris,Île-de-France,1974,"Arts visuels, arts numériques",https://www.fiac.com/,48.8560825982,2.31243868773,septembre,décembre
Rootstock Festival À Pommard,21200,Pommard,Bourgogne-Franche-Comté,2017,Musique,http://rootstockburgundy.com,47.0136884402,4.79517699243,juin,septembre
Psymind Origins,13840,Rognes,Provence-Alpes-Côte d'Azur,2017,Musique,www.psymind.fr,43.6648781836,5.35218247017,juin,septembre
Les Festives De Music'Halle,31000,Toulouse,Occitanie,2014,Musique,"https://www.ladepeche.fr/2019/06/19/les-festives-font-exploser-les-rythmes-a-musichalle,8265208.php",43.5963814303,1.43167293364,juin,septembre
Rock In The Barn,27630,Vexin-sur-Epte,Normandie,2010,Musique,https://www.rockinthebarn.com/,49.1515466021,1.59773112902,septembre,décembre
Festival De Bande Dessinée D'Humour,7450,Burzet,Auvergne-Rhône-Alpes,2004,"Livre, littérature",https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/2234,44.748232889,4.23385605882,septembre,décembre
Contes Givrés,71220,Chevagny-sur-Guye,Bourgogne-Franche-Comté,1999,"Livre, littérature",Www.association-antipodes.fr,46.5403336038,4.50069717167,septembre,décembre
Hippocampus,63000,Clermont-Ferrand,Auvergne-Rhône-Alpes,1999,Musique,www.festival-hippocampus.com,45.7856492991,3.11554542903,janvier,juin
Hello Birds,76790,Etretat,Normandie,2013,Musique,https://etretat.hellobirdsfestival.fr/,49.704733151,0.205304793744,juin,septembre
La Vallée Des Livres,5120,L'Argentière-La Bessée,Provence-Alpes-Côte d'Azur,2001,"Livre, littérature",www.livreslargentiere.sitew.com,44.7821732712,6.47214497323,juin,septembre
Sancy Snow Jazz,63240,Le Mont-Dore,Auvergne-Rhône-Alpes,1989,Musique,https://www.sancy-snowjazz.com/,45.5760999131,2.80995918175,janvier,juin
Blues Roots Festival,13590,Meyreuil,Provence-Alpes-Côte d'Azur,2019,Musique,https://festival.ville-meyreuil.fr/billetterie-concerts-blues-roots-festival/,43.4910522546,5.50062811927,septembre,décembre
C'Est Pas Classique,6300,Nice,Provence-Alpes-Côte d'Azur,2004,Musique,https://cpc.departement06.fr/c-est-pas-classique-9876.html,43.7119992661,7.23826889465,septembre,décembre
Conc'Air,68300,Saint-Louis,Grand Est,01/01/2005 00:00,Musique,http://www.concair.alsace/,47.6016553367,7.54061872745,juin,septembre
Tempos Du Monde,40990,Saint-Paul-lès-Dax,Nouvelle-Aquitaine,2000,Musique,http://www.temposdumonde.com/,43.7464083139,-1.08127980711,juin,septembre
L'Été Au Château,13300,Salon-De-Provence,Provence-Alpes-Côte d'Azur,2014,Pluridisciplinaire,www.salon-de-provence.fr,43.6462885238,5.06814649576,juin,septembre
Saulxures Festi'Lac,88290,Saulxures-sur-Moselotte,Grand Est,01/01/2017 00:00,Musique,http://festilac.saulxures-sur-moselotte.fr/,47.9512129215,6.77493861259,juin,septembre
Jazz Dans Le Bocage,3240,Tronget,Auvergne-Rhône-Alpes,1998,Musique,www.jazzdanslebocage.com,46.418633391,3.08862365583,juin,septembre
Un Doua De Jazz,69100,Villeurbanne,Auvergne-Rhône-Alpes,26ème,Musique,www.undouadejazz.com,45.7707704179,4.88845817426,septembre,décembre
"Les Suds, En Hiver",13200,Arles,Provence-Alpes-Côte d'Azur,2017,Musique,www.suds-arles.com,43.5468692378,4.66215642574,janvier,juin
Les Musicales Du Golfe,56610,Arradon,Bretagne,1992,Musique,www.musicalesdugolfe.com,47.6335958588,-2.8220328139,juin,septembre
Festival Du Paon,4150,Banon,Provence-Alpes-Côte d'Azur,2016,Spectacle vivant,www.festivaldupaon.com,44.0269448077,5.64964715248,juin,septembre
Festidreuz,29170,Fouesnant,Bretagne,2004,Musique,Festidreuz,47.8783078862,-4.01834628474,juin,septembre
Roscella Bay Festival,17000,La Rochelle,Nouvelle-Aquitaine,2015,Musique,http://www.roscellabay.fr,46.1620643972,-1.17465702836,septembre,décembre
Les Malins Plaisirs,62588,Montreuil-sur-Mer,Hauts-de-France,1989,Spectacle vivant,https://www.lesmalinsplaisirs.com/les-malins-plaisirs/,50.4655272073,1.77098646216,juin,septembre
Vercors Music Festival,38880,Autrans,Auvergne-Rhône-Alpes,2015,Musique,www.vercorsmusicfestival.com,45.1321769623,5.52869303726,juin,septembre
Les Nuits Des Arènes,75005,Paris,Île-de-France,2015,Musique,http://www.nuitsdesarenes.com,48.8567,2.3508,juin,septembre
Festival Du Rocher,26700,Pierrelatte,Auvergne-Rhône-Alpes,2016,Musique,https://26.agendaculturel.fr/festival/festival-du-rocher-2022.html,44.3606937732,4.68715113615,juin,septembre
Arcachon En Scène,33120,Arcachon,Nouvelle-Aquitaine,2016,Musique,http://www.ville-arcachon.fr/,44.6529002838,-1.17429790933,juin,septembre
Alest,76000,Rouen,Normandie,2002,"Cinéma, audiovisuel",Www.alestfestival.com,49.4413460103,1.09256784278,janvier,juin
Explos Film Festival,9110,Ax-Les-Thermes,Occitanie,2008,"Cinéma, audiovisuel",https://explos-festival.com/,42.6873576342,1.81825994194,septembre,décembre
Festival Du Polar,6700,Saint-Laurent-du-Var,Provence-Alpes-Côte d'Azur,2018,"Livre, littérature",saintlaurentduvar.fr,43.6859625772,7.18218791815,septembre,décembre
Smr13 - Festival International Du Film Indépendant,13920,Saint-Mitre-Les-Remparts,Provence-Alpes-Côte d'Azur,2015,"Cinéma, audiovisuel",https://smr13filmfestival.com/,43.4554029916,5.01494725455,septembre,décembre
Toros Y Salsa,40100,Dax,Nouvelle-Aquitaine,1995,Musique,http://www.dax.fr/,43.7006746973,-1.06014429759,septembre,décembre
Rock'N'Live,78500,Sartrouville,Île-de-France,01/01/2004 00:00,Musique,https://rocknlive.jimdo.com,48.9396085498,2.17458686513,septembre,décembre
Jazz À Foix,9000,Foix,Occitanie,2000,Musique,jazzfoix.com,42.9658502274,1.61037495894,juin,septembre
Le Cabaret Vert,8000,Charleville-Mézières,Grand Est,2005,Musique,www.cabaretvert.com,49.7752965803,4.71724655966,juin,septembre
Tambours De Fête,8000,Charleville-Mézières,Grand Est,1998,Musique,www.tamboursdefete.com,49.7752965803,4.71724655966,janvier,juin
Liv'In Embrun,5200,Embrun,Provence-Alpes-Côte d'Azur,2011,Musique,wwww.ville-embrun.fr,44.5804294908,6.47559298927,juin,septembre
Tous Dehors (Enfin !),5000,Gap,Provence-Alpes-Côte d'Azur,2012,Spectacle vivant,www.theatre-la-passerelle.eu,44.5798600596,6.06486052138,septembre,décembre
Imaginarium,60280,Margny-lès-Compiègne,Hauts-de-France,2014,Musique,Le Tigre Évènement,49.4329968709,2.8054861143,janvier,juin
Forts En Fête,5100,Briançon,Provence-Alpes-Côte d'Azur,2010,Musique,http://associationtousenscene.e-monsite.com/,44.8994986041,6.64947524018,juin,septembre
Ateliers Jazz,53170,Meslay-du-Maine,Pays de la Loire,1998,Musique,www.festivaljazz-meslay.com,47.9469156243,-0.558693863131,janvier,juin
Festi'Folk,13410,Lambesc,Provence-Alpes-Côte d'Azur,2008,Musique,http://openagenda.com/cofals,43.6615217681,5.25191446931,juin,septembre
Art Paris Art Fair,75010,Paris,Île-de-France,1999,"Arts visuels, arts numériques",https://www.artparis.com/fr,48.8760285569,2.36111290456,janvier,juin
Asia Now,75016,Paris,Île-de-France,2015,"Arts visuels, arts numériques",https://www.asianowparis.com/,48.8603987604,2.2620995594,septembre,décembre
Festival De Cinéma Argentique,30129,Redessan,Occitanie,2015,"Cinéma, audiovisuel",www.boyer-cinema.fr,43.8345466774,4.51298942933,septembre,décembre
Abracada'Sons,47800,Miramont-de-Guyenne,Nouvelle-Aquitaine,2001,Musique,http://staccato-asso-47.blogspot.fr/,44.5833450029,0.356429133423,septembre,décembre
L'Automne De Morthomiers,18570,Morthomiers,Centre-Val de Loire,2012,Musique,www.automne-morthomiers.com,47.0436630553,2.27235598629,septembre,décembre
Festival De Saint-Denis,93200,Saint-Denis,Île-de-France,1969,Musique,https://festival-saint-denis.com/fr/,48.9295650455,2.3592429975,janvier,juin
Les Rendez Vous De L'Erdre,44000,Nantes,Pays de la Loire,1987,Musique,rendezvouserdre.com,47.2316356767,-1.54831008605,juin,septembre
